10,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,
128,8070,31161482,,5521,34791308,,8070,32738732,,8171,35458675,,8070,32517238,,8270,3672689,,8070,31582329,,8070,18725501,,8519,,2.0,8070,11053134,
129,8270,31161522,,8071,34920895,,9071,32740100,,8271,35458675,,8071,32517276,,8070,3674359,,7519,,0.0,8071,18725743,,9519,,0.0,9071,11057314,
130,8071,31161547,,7529,,0.0,9070,32740825,,8270,35458748,,8270,32517280,,8071,3675369,,8519,,7.0,8070,18726026,,5521,14230362,,9070,11058225,
131,8070,31161953,,8529,,1.0,9071,32741455,,8070,35459914,,8170,32520208,,8070,3675481,,9519,,0.0,8071,18726165,,8071,14272253,,9071,11064090,
132,8071,31162185,,9529,,0.0,9070,32741501,,8170,35461676,,8070,32522052,,8170,3675617,,5521,31605920,,8070,18726363,,7529,,0.0,9070,11064440,
133,8070,31162203,,5520,34920896,,9071,32741706,,7519,,0.0,8071,32543621,,7519,,0.0,8071,31611862,,7071,18728783,,8529,,1.0,7519,,0.0
134,8071,31162599,,8171,34920896,,9070,32743337,,8519,,0.0,8070,32543702,,8519,,0.0,7529,,0.0,7070,18729349,,9529,,0.0,8519,,2.0
135,8070,31162776,,8271,34920896,,7519,,0.0,9519,,0.0,8071,32548808,,9519,,0.0,8529,,1.0,7071,18730185,,5520,14272253,,9519,,2.0
136,8071,31162804,,8270,34920969,,8519,,1.0,5521,35491676,,8070,32549010,,5521,3725617,,9529,,0.0,7070,18733075,,8171,14272254,,5521,11091972,
137,8070,31162857,,8070,34921116,,9519,,3.0,8071,35767839,,7519,,0.0,8071,3772502,,5520,31611863,,7071,18733474,,8271,14272254,,8071,11236749,
138,8071,31162912,,8071,34921216,,5521,32774119,,7529,,0.0,8519,,2.0,7529,,0.0,8171,31611863,,7070,18734124,,8270,14272327,,7529,,0.0
139,8070,31162926,,8070,34921239,,8071,32789029,,8529,,1.0,9519,,0.0,8529,,1.0,8271,31611863,,8071,18758789,,8070,14273993,,8529,,1.0
140,8071,31163009,,8170,34923897,,7529,,0.0,9529,,0.0,5521,32554208,,9529,,0.0,8270,31611936,,8070,18759299,,8071,14274101,,9529,,0.0
141,8070,31163031,,7519,,0.0,8529,,1.0,5520,35767840,,9071,32558527,,5520,3772503,,8070,31613539,,8071,18759686,,8070,14274259,,5520,11236750,
142,8071,31163110,,8519,,0.0,9529,,0.0,8171,35767840,,9070,32558692,,8171,3772503,,8071,31614050,,8070,18762836,,8170,14275255,,8171,11236751,
143,8070,31163334,,9519,,0.0,5520,32789030,,8271,35767840,,8071,32560310,,8271,3772503,,8070,31614592,,8071,18764777,,8071,14292918,,8271,11236751,
144,8071,31163545,,5521,34980897,,8171,32789030,,8270,35767913,,7529,,0.0,8270,3772576,,8170,31614864,,8070,18764818,,8070,14293405,,8270,11236824,
145,8070,31163869,,8071,34985483,,8271,32789030,,8070,35768596,,8529,,1.0,8070,3774820,,9071,31618142,,8071,18764824,,7519,,0.0,8070,11238652,
